order_id,customer_id,fecha,canal,sku,qty,price,cost
1,2807,2024-06-01,web,SKU0083,2,5.93,3.38
1,2807,2024-06-01,web,SKU0018,2,7.29,5.55
2,768,2024-06-01,app,SKU0009,1,13.69,9.03
2,768,2024-06-01,app,SKU0027,1,18.14,13.12
3,1768,2024-06-01,tienda,SKU0087,1,9.46,6.46
3,1768,2024-06-01,tienda,SKU0001,2,4.4,3.51
4,348,2024-06-01,tienda,SKU0057,2,11.21,8.11
4,348,2024-06-01,tienda,SKU0017,2,18.42,13.6
4,348,2024-06-01,tienda,SKU0032,2,13.69,8.31
5,1994,2024-06-01,tienda,SKU0085,3,6.78,4.13
5,1994,2024-06-01,tienda,SKU0055,1,13.95,9.65
5,1994,2024-06-01,tienda,SKU0083,1,19.08,10.21
5,1994,2024-06-01,tienda,SKU0076,2,5.82,4.3
6,2831,2024-06-01,web,SKU0070,2,4.78,3.27
6,2831,2024-06-01,web,SKU0017,3,11.2,7.08
6,2831,2024-06-01,web,SKU0093,1,3.72,2.35
6,2831,2024-06-01,web,SKU0022,2,18.3,10.76
7,2141,2024-06-01,tienda,SKU0032,1,11.57,7.07
7,2141,2024-06-01,tienda,SKU0033,1,9.47,6.46
7,2141,2024-06-01,tienda,SKU0050,1,7.41,5.68
8,2011,2024-06-01,app,SKU0072,3,20.13,11.49
8,2011,2024-06-01,app,SKU0024,1,1.62,1.15
9,301,2024-06-01,tienda,SKU0083,2,15.83,10.9
9,301,2024-06-01,tienda,SKU0059,1,10.1,6.23
9,301,2024-06-01,tienda,SKU0092,2,27.74,17.4
9,301,2024-06-01,tienda,SKU0005,1,5.94,3.37
10,2860,2024-06-01,web,SKU0081,1,11.96,6.89
10,2860,2024-06-01,web,SKU0093,2,11.4,7.11
10,2860,2024-06-01,web,SKU0032,3,15.29,11.71
10,2860,2024-06-01,web,SKU0044,2,19.66,11.03
11,1536,2024-06-01,app,SKU0090,1,5.78,3.94
11,1536,2024-06-01,app,SKU0092,2,27.58,17.9
12,175,2024-06-01,app,SKU0045,1,1.98,1.34
13,1399,2024-06-01,app,SKU0037,2,4.13,2.3
13,1399,2024-06-01,app,SKU0087,2,8.8,5.87
14,686,2024-06-01,tienda,SKU0054,1,26.38,18.28
15,2226,2024-06-01,app,SKU0056,3,21.99,16.44
16,380,2024-06-01,app,SKU0016,1,17.72,14.16
17,1672,2024-06-01,tienda,SKU0034,2,24.58,16.46
17,1672,2024-06-01,tienda,SKU0089,1,6.29,3.29
